Problem,Contest,Index,Tags,solvedCount
Twin Buildings,1252,H,"greedy, implementation",2513
Salary Changing,1251,D,"binary search, greedy, sortings",5373
The Parade,1250,J,"binary search, greedy",2738
The Feast and the Bus,1250,B,"brute force, constructive algorithms, greedy, math",2495
By Elevator or Stairs?,1249,E,"dp, shortest paths",8735
Too Many Segments (hard version),1249,D2,"data structures, greedy, sortings",4574
Too Many Segments (easy version),1249,D1,greedy,4564
Shichikuji and Power Grid,1245,D,"dsu, graphs, greedy, shortest paths, trees",6298
Paint the Tree,1244,D,"brute force, constructive algorithms, dp, graphs, implementation, trees",6921
0-1 MST,1242,B,"dfs and similar, dsu, graphs, sortings",6402
Ivan the Fool and the Probability Theory,1239,A,"combinatorics, dp, math",6908
AB-string,1238,D,"binary search, combinatorics, dp, strings",5556
Balanced Removals (Harder),1237,C2,"binary search, constructive algorithms, divide and conquer, greedy, implementation, sortings",4007
Balanced Removals (Easier),1237,C1,"constructive algorithms, geometry, greedy",5725
Complete Tripartite,1228,D,"brute force, constructive algorithms, graphs, hashing, implementation",4847
Primes and Multiplication,1228,C,"math, number theory",8456
Optimal Subsequences (Hard Version),1227,D2,"data structures, greedy",4118
Messy,1227,C,constructive algorithms,5208
Power Products,1225,D,"hashing, math, number theory",6864
Make The Fence Great Again,1221,D,dp,8236
Alex and Julian,1220,D,"bitmasks, math, number theory",3530
Periodic integer number,1219,C,"implementation, strings",1654
The Number Of Good Substrings,1217,C,"binary search, bitmasks, brute force",6921
Numerical Sequence (easy version),1216,E1,"binary search, brute force, math",3236
White Sheet,1216,C,"geometry, math",8304
Ticket Game,1215,D,"games, greedy, math",5884
Treasure Island,1214,D,"dfs and similar, dp, flows, hashing",4764
Path Queries,1213,G,"divide and conquer, dsu, graphs, sortings, trees",6167
Two Small Strings,1213,E,"brute force, constructive algorithms",4708
Ice Cream,1211,C,"*special, greedy, sortings",452
Marcin and Training Camp,1210,B,"brute force, greedy",5591
Anadi and Domino,1210,A,"brute force, graphs",5055
Cow and Snacks,1209,D,"dfs and similar, dsu, graphs",8268
Restore Permutation,1208,D,"binary search, data structures, greedy, implementation",4509
Magic Grid,1208,C,constructive algorithms,5612
XOR Guessing,1207,E,"bitmasks, interactive, math",5349
Number Of Permutations,1207,D,combinatorics,5564
Shortest Cycle,1205,B,"bitmasks, brute force, graphs, shortest paths",6068
"Anna, Svyatoslav and Maps",1204,C,"dp, graphs, greedy, shortest paths",6255
Remove the Substring (hard version),1203,D2,"binary search, greedy, implementation, two pointers",6721
Print a 1337-string...,1202,D,"combinatorics, constructive algorithms, math, strings",4609
You Are Given a Decimal String...,1202,B,"brute force, dp, shortest paths",4221
White Lines,1200,D,"brute force, data structures, dp, implementation, two pointers",3735
Yet Another Subarray Problem,1197,D,"dp, greedy, math",4869
Connected Component on a Chessboard,1196,E,"constructive algorithms, implementation",3384
Submarine in the Rybinsk Sea (hard edition),1195,D2,"combinatorics, math, number theory",4305
1-2-K Game,1194,D,"games, math",5991
"Tokitsukaze, CSL and Stone Game",1190,B,games,5987
Vasya And Array,1187,C,"constructive algorithms, greedy, implementation",5892
Vus the Cossack and Strings,1186,C,"implementation, math",5685
Extra Element,1185,D,"implementation, math",6277
Exam in BerSU (hard version),1185,C2,"brute force, data structures, greedy, math",6993
Daleks' Invasion (easy),1184,E1,"graphs, trees",1487
Subsequences (hard version),1183,H,"dp, strings",2738
Beautiful Lyrics,1182,C,"data structures, greedy, strings",4338
Flag,1181,C,"brute force, combinatorics, dp, implementation",2962
Tolik and His Uncle,1179,B,constructive algorithms,4199
Archaeology,1178,E,"brute force, constructive algorithms, greedy, strings",3992
Digits Sequence (Hard Edition),1177,B,"binary search, divide and conquer, implementation",2293
Cover it!,1176,E,"dfs and similar, dsu, graphs, shortest paths, trees",9692
Recover it!,1176,D,"dfs and similar, graphs, greedy, number theory, sortings",4930
Array Splitting,1175,D,"greedy, sortings",5219
Ehab and the Expected XOR Problem,1174,D,"bitmasks, constructive algorithms",4438
Nauuo and Circle,1172,B,"combinatorics, dfs and similar, dp, trees",3619
Nauuo and Cards,1172,A,"greedy, implementation",4626
Good Triple,1168,B,"brute force, two pointers",3118
Increasing by Modulo,1168,A,"binary search, greedy",6033
Power Transmission (Hard Edition),1163,C2,"data structures, geometry, implementation, math",3099
Power Transmission (Easy Edition),1163,C1,"brute force, geometry",2842
Minimum Array,1157,E,"binary search, data structures, greedy",7447
N Problems During K Days,1157,D,"constructive algorithms, greedy, math",3138
Increasing Subsequence (hard version),1157,C2,greedy,7139
Ugly Pairs,1156,B,"dfs and similar, greedy, implementation, sortings, strings",5618
Beautiful Array,1155,D,"brute force, data structures, divide and conquer, dp, greedy",6361
Two Teams,1154,E,"data structures, implementation, sortings",5433
Serval and Rooted Tree,1153,D,"binary search, dfs and similar, dp, greedy, trees",4281
Serval and Parenthesis Sequence,1153,C,"greedy, strings",6776
Neko does Maths,1152,C,"brute force, math, number theory",5974
Problem for Nazar,1151,C,"constructive algorithms, math",4756
Dirty Deeds Done Dirt Cheap,1148,D,"greedy, sortings",4713
Crazy Diamond,1148,C,"constructive algorithms, sortings",4888
Chladni Figure,1147,B,"brute force, strings",2439
Tree Diameter,1146,C,"bitmasks, graphs, interactive",3293
Graph Without Long Directed Paths,1144,F,"dfs and similar, graphs",9632
Median String,1144,E,"bitmasks, math, number theory, strings",3779
The Beatles,1142,A,"brute force, math",3187
Privatization of Roads in Treeland,1141,G,"binary search, constructive algorithms, dfs and similar, graphs, greedy, trees",2105
Same Sum Blocks (Hard),1141,F2,"data structures, greedy",3881
Same Sum Blocks (Easy),1141,F1,greedy,3587
Superhero Battle,1141,E,math,6060
Circus,1138,B,"brute force, greedy, math, strings",3500
Nastya Is Buying Lunch,1136,D,greedy,3548
Spanning Tree with One Fixed Degree,1133,F2,"constructive algorithms, dfs and similar, dsu, graphs, greedy",2649
K Balanced Teams,1133,E,"dp, sortings, two pointers",4542
Painting the Fence,1132,C,brute force,5050
Asya And Kittens,1131,F,"constructive algorithms, dsu",5935
Toy Train,1129,A2,"brute force, greedy",3781
Toy Train (Simplified),1129,A1,"brute force, greedy",3717
Diana and Liana,1120,A,"greedy, implementation, two pointers",1585
Pavel and Triangles,1119,E,"brute force, dp, fft, greedy, ternary search",4361
Frets On Fire,1119,D,"binary search, sortings",4416
Tree Cutting (Easy Version),1118,F1,"dfs and similar, trees",5225
Yet Another Ball Problem,1118,E,"constructive algorithms, implementation",3756
Coffee and Coursework (Hard Version),1118,D2,"binary search, greedy",5635
Coffee and Coursework (Easy version),1118,D1,"brute force, greedy",5110
Palindromic Matrix,1118,C,"constructive algorithms, implementation",5315
Magic Ship,1117,C,binary search,5706
Block unitary,1115,U3,*special,194
Flood Fill,1114,D,dp,6143
Trailing Loves (or L'oeufs?),1114,C,"brute force, implementation, math, number theory",7049
Creative Snap,1111,C,"binary search, brute force, divide and conquer, math",5959
Average Superhero Gang Power ,1111,B,"brute force, implementation, math",5827
Sasha and One More Name,1109,B,"constructive algorithms, hashing, strings",4169
Array and Segments (Easy version),1108,E1,"brute force, greedy, implementation",4234
Compression,1107,D,"dp, implementation, math, number theory",3623
Kilani and the Game,1105,D,"dfs and similar, graphs, implementation, shortest paths",3867
Monotonic Renumeration,1102,E,"combinatorics, sortings",5290
Easy Problem,1096,D,dp,7022
Make It Connected,1095,F,"dsu, graphs, greedy",5021
Almost Regular Bracket Sequence,1095,E,implementation,3470
Beautiful Graph,1093,D,"dfs and similar, graphs",7727
Tree with Maximum Cost,1092,F,"dfs and similar, dp, trees",6311
Prefixes and Suffixes,1092,C,strings,5268
New Year and the Permutation Concatenation,1091,D,"combinatorics, dp, math",6370
Similar Arrays,1090,D,constructive algorithms,1853
LaTeX Expert,1090,B,,1258
Fractions,1089,F,math,1828
Easy Chess,1089,E,constructive algorithms,1898
Minimum Diameter Tree,1085,D,"constructive algorithms, implementation, trees",5186
The Fair Nut and the Best Path,1083,A,"data structures, dp, trees",4918
Maximum Diameter Graph,1082,D,"constructive algorithms, graphs, implementation",3486
Missing Numbers,1081,E,"binary search, constructive algorithms, greedy, math, number theory",2471
Maximum Distance,1081,D,"dsu, graphs, shortest paths, sortings",3724
Pictures with Kittens (easy version),1077,F1,dp,3560
Thematic Contests,1077,E,"greedy, sortings",4182
Vasya and a Tree,1076,E,"data structures, trees",3447
Edge Deletion,1076,D,"graphs, greedy, shortest paths",4659
Berland Fair,1073,D,"binary search, brute force, data structures, greedy",6163
Vasya and Robot,1073,C,"binary search, two pointers",4396
Colored Rooks,1068,C,"constructive algorithms, graphs",3053
Multihedgehog,1067,B,"dfs and similar, graphs, shortest paths",2404
Array Without Local Maximums ,1067,A,dp,2598
Binary Numbers AND Sum,1066,E,"data structures, implementation, math",5771
Boxes Packing,1066,D,"binary search, implementation",5085
"Dwarves, Hats and Extrasensory Abilities",1063,C,"binary search, constructive algorithms, geometry, interactive",2732
Labyrinth,1063,B,"graphs, shortest paths",6597
Fun with Integers,1062,D,"dfs and similar, graphs, implementation, math",3792
Multiplicity,1061,C,"data structures, dp, implementation, math, number theory",7781
Social Circles,1060,D,"greedy, math",3495
Pick Heroes,1056,C,"greedy, implementation, interactive, sortings",2248
Lucky Days,1055,C,"math, number theory",1823
Changing Array,1054,D,"greedy, implementation",2181
Bicolorings,1051,D,"bitmasks, dp",6761
Intersecting Subtrees,1044,B,"dfs and similar, interactive, trees",1513
The Tower is Going Home,1044,A,"binary search, two pointers",2796
"Train Hard, Win Easy",1043,E,"constructive algorithms, greedy, math, sortings",2635
Mysterious Crime,1043,D,"brute force, combinatorics, math, meet-in-the-middle, two pointers",4294
Petya and Array,1042,D,"data structures, divide and conquer, two pointers",5347
Array Product,1042,C,"constructive algorithms, greedy, math",4542
Tree Reconstruction,1041,E,"constructive algorithms, data structures, graphs, greedy",3379
Glider,1041,D,"binary search, data structures, two pointers",5597
Slime,1038,D,"dp, greedy, implementation",7872
Valid BFS?,1037,D,"dfs and similar, graphs, shortest paths, trees",12893
Classy Numbers,1036,C,"combinatorics, dp",7825
Enlarge GCD,1034,A,number theory,7891
Barcelonian Distance,1032,D,"geometry, implementation",2504
Playing Piano,1032,C,"constructive algorithms, dp",3768
Minimum path,1031,D,greedy,2553
Vasya and Triangle,1030,D,"geometry, number theory",5596
Concatenated Multiples,1029,D,"implementation, math",3551
Mouse Hunt,1027,D,"dfs and similar, graphs",6667
Array Restoration,1023,D,"constructive algorithms, data structures",3876
Elections,1019,A,"brute force, greedy",4444
The Wu,1017,D,"bitmasks, brute force, data structures",3174
Vasya And The Matrix,1016,D,"constructive algorithms, flows, math",4278
Vasya And The Mushrooms,1016,C,"dp, implementation",3562
Stars Drawing (Hard Edition),1015,E2,"binary search, dp, greedy",3307
Stars Drawing (Easy Edition),1015,E1,"brute force, dp, greedy",5119
Hills,1012,C,dp,3026
Chemical table,1012,B,"constructive algorithms, dfs and similar, dsu, graphs, matrices",3512
Border,1010,C,number theory,4517
Rocket,1010,B,"binary search, interactive",4907
Relatively Prime Graph,1009,D,"brute force, constructive algorithms, graphs, greedy, math",6013
Annoying Present,1009,C,"greedy, math",5119
Two Strings Swaps,1006,D,implementation,5666
Median on Segments (Permutations Edition),1005,E1,sortings,3506
Another array reconstruction algorithm,1002,E2,,192
Distinguish zero state and plus state without errors,1002,C2,,257
Distinguish zero state and plus state with minimum error,1002,C1,,292
Distinguish four 2-qubit states - 2,1002,B4,,297
Generate W state,1002,A4,,257
Deutsch-Jozsa algorithm,1001,I,*special,394
Yet Another Problem On a Subsequence,1000,D,"combinatorics, dp",3677
Covered Points Count,1000,C,"data structures, implementation, sortings",6126
Equalize the Remainders,999,D,"data structures, greedy, implementation",3947
Open Communication,993,B,"bitmasks, brute force",1915
Bus Number,991,E,"brute force, combinatorics, math",3179
Graph And Its Complement,990,D,"constructive algorithms, graphs, implementation",3683
A Mist of Florescence,989,C,"constructive algorithms, graphs",3520
Points and Powers of Two,988,D,"brute force, math",6476
Petr and Permutations,986,B,"combinatorics, math",4419
XOR-pyramid,983,B,dp,4987
Finite or not?,983,A,"implementation, math",4399
Shark,982,D,"brute force, data structures, dsu, trees",2172
Bookshelves,981,D,"bitmasks, dp, greedy",3087
Posterized,980,C,"games, greedy",3674
Treasure Hunt,979,B,greedy,4287
Petya's Exams,978,G,"greedy, implementation, sortings",4002
Consecutive Subsequence,977,F,dp,15357
Single-use Stones,965,D,"binary search, flows, greedy, two pointers",2847
Alternating Sum,963,A,"math, number theory",3143
Tufurama,961,E,data structures,3303
Subsequence Counting,960,C,"bitmasks, constructive algorithms, greedy, implementation",3734
Mahmoud and Ehab and the xor-MST,959,E,"bitmasks, dp, graphs, implementation, math",3211
Mahmoud and Ehab and another array construction task,959,D,"constructive algorithms, greedy, math, number theory",2976
Lightsabers (medium),958,F2,"binary search, two pointers",1144
Matrix Walk,954,C,implementation,3622
I'm Feeling Lucky!,952,D,probabilities,2301
A Map of the Cat,952,B,"brute force, interactive",1879
Data Center Maintenance,949,C,"dfs and similar, graphs",1933
A Leapfrog in the Array,949,B,"constructive algorithms, math",3591
Timetable,946,D,dp,4102
Maximize!,939,E,"binary search, greedy, ternary search, two pointers",2900
Constructing Tests,938,C,"binary search, brute force, constructive algorithms",3200
Save Energy!,936,A,"binary search, implementation, math",4278
Fafa and Ancient Alphabet,935,D,"math, probabilities",2470
A Twisty Movement,933,A,dp,4655
Laboratory Work,931,C,"implementation, math",3229
Teodor is not a liar!,930,C,"data structures, dp",1991
Красивая команда,929,C,"*special, combinatorics, math",1131
Autocompletion,928,D,"*special, strings, trees",788
Dependency management,928,C,"*special, graphs, implementation",873
A Vital Problem,926,I,,625
Merge Equal Elements,926,E,"constructive algorithms, data structures",880
Is This a Zebra?,926,C,implementation,1776
Add Points,926,B,,1500
Resource Distribution,925,B,"binary search, implementation, sortings",2149
Riverside Curio,924,C,"data structures, dp, greedy",3610
Perfect Security,923,C,"data structures, greedy, strings, trees",3995
Primal Sport,923,A,"math, number theory",4890
Robot Vacuum Cleaner,922,D,"greedy, sortings",4016
Substring,919,D,"dfs and similar, dp, graphs",8689
MADMAX,917,B,"dfs and similar, dp, games, graphs",3360
The Monster,917,A,"dp, greedy, implementation, math",3377
Permute Digits,915,C,"dp, greedy",6706
Bash and a Tough Math Puzzle,914,D,"data structures, number theory",4669
Travelling Salesman and Special Numbers,914,C,"brute force, combinatorics, dp",3448
Too Easy Problems,913,D,"binary search, brute force, data structures, greedy, sortings",4426
Inversion Counting,911,D,"brute force, math",4280
Minimum Sum,910,C,"constructive algorithms, greedy, math",1652
Coprocessor,909,E,"dfs and similar, dp, graphs, greedy",1842
Python Indentation,909,C,dp,4591
Remove Extra One,900,C,"brute force, data structures, math",4268
Shovel Sale,899,D,"constructive algorithms, math",2368
Nephren gives a riddle,896,A,"binary search, dfs and similar",3295
XK Segments,895,B,"binary search, math, sortings, two pointers",3354
Marco and GCD Sequence,894,C,"constructive algorithms, math",4184
Ralph And His Magic Field,894,B,"combinatorics, constructive algorithms, math, number theory",4286
Credit Card,893,D,"data structures, dp, greedy, implementation",2810
Maximum Subsequence,888,E,"bitmasks, divide and conquer, meet-in-the-middle",5910
Road Widening,883,K,"constructive algorithms, greedy, implementation",1043
Photo Processing,883,I,"binary search, dp",1790
Palindromic Cut,883,H,"brute force, implementation, strings",1525
Orientation of Edges,883,G,"dfs and similar, graphs",1336
Merge Sort,873,D,"constructive algorithms, divide and conquer",2875
The Intriguing Obsession,869,C,"combinatorics, dp, math",4189
Ordering Pizza,865,B,"binary search, sortings, ternary search",1632
Yet Another Array Queries Problem,863,D,"data structures, implementation",3000
01-02-2003,863,C,"graphs, implementation",2340
Mahmoud and Ehab and the xor,862,C,constructive algorithms,3793
Jury Meeting,853,B,"greedy, sortings, two pointers",2469
Bathroom terminal,852,G,implementation,1217
Five Dimensional Points,850,A,"brute force, geometry, math",2943
Rooter's Song,848,B,"constructive algorithms, data structures, geometry, implementation, sortings, two pointers",1774
Travel Cards,847,K,"greedy, implementation, sortings",1428
Noise Level,847,I,"dfs and similar, implementation, math",1476
Packmen,847,E,"binary search, dp",2494
Sum of Nestings,847,C,constructive algorithms,2285
Random Query,846,F,"data structures, math, probabilities, two pointers",2115
Monitor,846,D,"binary search, data structures",2220
Four Segments,846,C,"brute force, data structures, dp",2541
Math Show,846,B,"brute force, greedy",2394
Driving Test,845,D,"data structures, dp, greedy",2282
Game of the Rows,839,B,"brute force, greedy, implementation",3214
Palindromic characteristics,835,D,"brute force, dp, hashing, strings",3712
The Meaningless Game,833,A,"math, number theory",5908
"Misha, Grisha and Underground",832,D,"dfs and similar, graphs, trees",3320
Jury Marks,831,C,"brute force, constructive algorithms",4142
Office Keys,830,A,"binary search, brute force, dp, greedy, sortings",6052
High Load,827,B,"constructive algorithms, greedy, implementation, trees",3375
String Reconstruction,827,A,"data structures, greedy, sortings, strings",3819
My pretty girl Noora,822,D,"brute force, dp, greedy, math, number theory",2910
Mister B and PR Shifts,819,B,"data structures, implementation, math",1576
Card Game Again,818,E,"binary search, data structures, number theory, two pointers",1794
Multicolored Cars,818,D,"data structures, implementation",3309
Imbalanced Array,817,D,"data structures, divide and conquer, dsu, sortings",4089
Karen and Game,815,A,"brute force, greedy, implementation",5507
The Tag Game,813,C,"dfs and similar, graphs",5346
The Golden Age,813,B,"brute force, math",3668
Vladik and Memorable Trip,811,C,"dp, implementation",3151
Array Division,808,D,"binary search, data structures, implementation",6434
Magazine Ad,803,D,"binary search, greedy",2848
Maximal GCD,803,C,"constructive algorithms, greedy, math",4656
Heidi and Library (medium),802,B,"data structures, greedy",951
Heidi and Library (easy),802,A,greedy,1215
Fountains,799,C,"binary search, data structures, implementation",3471
Mike and gcd problem,798,C,"dp, greedy, number theory",5416
Minimal string,797,C,"data structures, greedy, strings",5916
Bank Hacking,796,C,"constructive algorithms, data structures, dp, trees",2908
Naming Company,794,C,"games, greedy, sortings",2972
Paths in a Complete Binary Tree,792,D,"bitmasks, trees",2799
Masha and geometric depression,789,B,"brute force, implementation, math",4310
Crunching Numbers Just for You,784,F,"*special, implementation",826
Touchy-Feely Palindromes,784,D,"*special, implementation",374
INTERCALC,784,C,"*special, implementation",614
Numbers Joke,784,A,*special,2987
Innokenty and a Football League,780,D,"2-sat, graphs, greedy, implementation, shortest paths, strings",2803
Bitwise Formula,778,B,"bitmasks, brute force, dfs and similar, expression parsing, implementation",2197
String Game,778,A,"binary search, greedy, strings",10678
Cloud of Hashtags,777,D,"binary search, greedy, implementation, strings",4816
Molly's Chemicals,776,C,"binary search, brute force, data structures, implementation, math",5623
Success Rate,773,A,"binary search, math",4193
Volatile Kite,772,B,geometry,3002
Voltage Keepsake,772,A,"binary search, math",3990
k-Interesting Pairs Of Integers,769,D,"*special, bitmasks, brute force, meet-in-the-middle",2150
Cycle In Maze,769,C,"*special, dfs and similar, graphs, greedy, shortest paths",1953
Jon Snow and his Favourite Number,768,C,"brute force, dp, implementation, sortings",3713
Mahmoud and a Message,766,C,"brute force, dp, greedy, strings",4204
Artsem and Saunders,765,D,"constructive algorithms, dsu, math",2366
Dasha and Very Difficult Problem,761,D,"binary search, brute force, constructive algorithms, greedy, sortings",3749
Unfair Poll,758,C,"binary search, constructive algorithms, implementation, math",3777
Felicity is Coming!,757,C,"data structures, hashing, sortings, strings",2270
Pavel and barbecue,756,A,"constructive algorithms, dfs and similar",2927
New Year and Fireworks,750,D,"brute force, data structures, dfs and similar, dp, implementation",3038
Comments,747,E,"dfs and similar, expression parsing, implementation, strings",1911
Winter Is Coming,747,D,"dp, greedy, sortings",2879
Numbers Exchange,746,E,"greedy, implementation, math",1691
Hongcow's Game,744,B,"bitmasks, divide and conquer, interactive",1666
Chloe and pleasant prizes,743,D,"dfs and similar, dp, graphs, trees",4135
Alyona and a tree,739,B,"binary search, data structures, dfs and similar, graphs, trees",4254
Alyona and mex,739,A,"constructive algorithms, greedy",7383
Anton and Chess,734,D,implementation,3651
Epidemic in Monstropolis,733,C,"constructive algorithms, dp, greedy, two pointers",3232
Exams,732,D,"binary search, greedy, sortings",5257
Video Cards,731,F,"brute force, data structures, implementation, math, number theory",2683
Bottles,730,J,dp,2997
Minimum and Maximum,730,B,"constructive algorithms, interactive",2340
Toda 2,730,A,"greedy, implementation",1528
Subordinates,729,E,"constructive algorithms, data structures, graphs, greedy, sortings",2086
Sea Battle,729,D,"constructive algorithms, greedy, math",3554
Road to Cinema,729,C,"binary search, greedy, sortings",3758
T-shirts Distribution,727,D,"constructive algorithms, flows, greedy",1746
Contest Balloons,725,D,"data structures, greedy",2625
Dense Subsequence,724,D,"data structures, greedy, strings",2201
Ray Tracing,724,C,"greedy, hashing, implementation, math, number theory, sortings",2012
Generating Sets,722,D,"binary search, data structures, dfs and similar, greedy, strings, trees",3008
Journey,721,C,"dp, graphs",5310
Efim and Strange Grade,718,A,"dp, implementation, math",4262
"Paint it really, really dark gray",717,E,dfs and similar,1359
Dexterina’s Lab,717,D,"games, matrices, probabilities",1292
Directed Roads,711,D,"combinatorics, dfs and similar, graphs, math",4220
Coloring Trees,711,C,dp,7360
Recover the String,708,B,"constructive algorithms, greedy, implementation, math",3162
Vasiliy's Multiset,706,D,"binary search, bitmasks, data structures, trees",8630
Road to Post Office,702,D,math,3108
Connecting Universities,700,B,"dfs and similar, dp, graphs, trees",3625
As Fast As Possible,700,A,"binary search, math",3097
Fix a Tree,698,B,"constructive algorithms, dfs and similar, dsu, graphs, trees",5458
Puzzles,696,B,"dfs and similar, math, probabilities, trees",3226
Xor-sequences,691,E,matrices,2193
Swaps in Permutation,691,D,"dfs and similar, dsu, math",4999
Exponential notation,691,C,"implementation, strings",2383
Photographs (I),690,E1,,644
The Wall (medium),690,D2,combinatorics,1177
Recover Polygon (easy),690,B1,,899
Mike and Chocolate Thieves,689,C,"binary search, combinatorics, math",4556
The Values You Can Make,687,C,dp,4511
Remainders Game,687,B,"chinese remainder theorem, math, number theory",5299
Kay and Snowflake,685,B,"data structures, dfs and similar, dp, trees",3489
Robbers' watch,685,A,"brute force, combinatorics, dp, math",4072
Exchange of Books,683,H,*special,88
The Fraction,683,G,*special,124
Reformat the String,683,F,*special,140
Hammer throwing,683,E,*special,180
Alyona and Strings,682,D,"dp, strings",3127
Iterated Linear Function,678,D,"math, number theory",3982
Tree Construction,675,D,"data structures, trees",3347
Recycling Bottles,671,A,"dp, geometry, greedy, implementation",4072
Correct Bracket Sequence Editor,670,E,"data structures, dsu, strings",3079
Reberland Linguistics,666,A,"dp, implementation, strings",3359
Simple Subset,665,D,"constructive algorithms, greedy, number theory",2980
Rebus,663,A,"constructive algorithms, expression parsing, greedy, math",2986
Primes in Interval,661,F,*special,214
Seasons,661,B,*special,219
Number of Parallelograms,660,D,geometry,3583
You're a Professional,656,G,*special,451
Ace It!,656,F,*special,758
Scrambled,656,B,"*special, implementation",1581
Da Vinci Powers,656,A,*special,3392
Bear and Up-Down,653,C,"brute force, implementation",1607
Nested Segments,652,D,"data structures, sortings",3523
Foe Pairs,652,C,"combinatorics, sortings, two pointers",2917
Image Preview,650,B,"binary search, brute force, dp, two pointers",3262
Robot Rapping Results Report,645,D,"binary search, dp, graphs",2584
Processing Queries,644,B,"*special, constructive algorithms, data structures, two pointers",2550
Little Artem and Dance,641,C,"brute force, constructive algorithms, implementation",2813
Three-dimensional Turtle Super Computer ,638,D,"brute force, dfs and similar, graphs",664
Road Improvement,638,C,"*special, dfs and similar, graphs, greedy, trees",1390
Spy Syndrome 2,633,C,"data structures, dp, hashing, implementation, sortings, string suffix structures, strings",2473
The Smallest String Concatenation,632,C,"sortings, strings",6511
Report,631,C,"data structures, sortings",3587
Pyramids,630,Q,"geometry, math",1147
Turn,630,M,"geometry, math",1054
Parking Lot,630,I,"combinatorics, math",5815
A rectangle,630,E,math,1993
Factory Repairs,627,B,data structures,2524
XOR Equation,627,A,"dp, math",3849
Jerry's Protest,626,D,"brute force, combinatorics, dp, probabilities",2584
Guest From the Past,625,A,"implementation, math",5261
Graph and String,623,A,"constructive algorithms, graphs",4227
Optimal Number Permutation,622,D,constructive algorithms,2653
Not Equal on a Segment,622,C,"data structures, implementation",5883
Wet Shark and Flowers,621,C,"combinatorics, math, number theory, probabilities",5131
Polyline,617,D,"constructive algorithms, implementation",4066
Skills,613,B,"binary search, brute force, dp, greedy, sortings, two pointers",2079
Peter and Snow Blower,613,A,"binary search, geometry, ternary search",3136
The Union of k-Segments,612,D,"greedy, sortings",3468
Harmony Analysis,610,C,constructive algorithms,2756
Zuma,607,B,dp,9790
Lazy Student,605,B,"constructive algorithms, data structures, graphs",3307
Moodular Arithmetic,603,B,"combinatorics, dfs and similar, dsu, math, number theory",2504
Make Palindrome,600,C,"constructive algorithms, greedy, strings",5355
Spongebob and Squares,599,D,"brute force, math",2493
Igor In the Museum,598,D,"dfs and similar, graphs, shortest paths",9614
Subsequences,597,C,"data structures, dp",4091
Wilbur and Points,596,C,"combinatorics, greedy, sortings",2217
The Big Race,592,C,math,3008
Median Smoothing,590,A,implementation,3858
Phillip and Trains,585,B,"dfs and similar, graphs, shortest paths",3382
Gennady the Dentist,585,A,"brute force, implementation",4089
Dima and Lisa,584,D,"brute force, math, number theory",8337
Marina and Vasya,584,C,"constructive algorithms, greedy, strings",5990
Once Again...,582,B,"constructive algorithms, dp, matrices",3229
GCD Table,582,A,"constructive algorithms, greedy, number theory",7290
Three Logos,581,D,"bitmasks, brute force, constructive algorithms, geometry, implementation, math",3203
Kefa and Dishes,580,D,"bitmasks, dp",8443
"""Or"" Game",578,B,"brute force, greedy",5027
A Problem about Polyline,578,A,"geometry, math",4614
Modulo Sum,577,B,"combinatorics, data structures, dp, two pointers",10634
Bots,575,H,"combinatorics, dp, math, number theory",1574
Tablecity,575,D,"constructive algorithms, implementation",1790
Symmetric and Transitive,568,B,"combinatorics, dp, math",2186
One-Dimensional Battle Ships,567,D,"binary search, data structures, greedy, sortings",4475
Geometric Progression,567,C,"binary search, data structures, dp",9006
Restructuring Company,566,D,"data structures, dsu",2882
Equivalent Strings,559,B,"divide and conquer, hashing, sortings, strings",10018
Amr and Chemistry,558,C,"brute force, graphs, greedy, math, shortest paths",3816
Arthur and Table,557,C,"brute force, data structures, dp, greedy, math, sortings",3878
Kyoya and Permutation,553,B,"binary search, combinatorics, constructive algorithms, greedy, implementation, math",2073
Vanya and Triangles,552,D,"brute force, combinatorics, data structures, geometry, math, sortings",4213
Vanya and Scales,552,C,"brute force, dp, greedy, math, meet-in-the-middle, number theory",5259
ZgukistringZ,551,B,"brute force, constructive algorithms, implementation, strings",3705
Regular Bridge,550,D,"constructive algorithms, graphs, implementation",3126
Haar Features,549,D,"greedy, implementation",2095
Mike and Feet,547,B,"binary search, data structures, dp, dsu",7596
Soldier and Number Game,546,D,"constructive algorithms, dp, math, number theory",10720
Writing Code,543,A,dp,7405
Bad Luck Island,540,D,"dp, probabilities",4961
School Marks,540,B,"greedy, implementation",4528
Weird Chess,538,D,"brute force, constructive algorithms, implementation",2394
Tavas and Malekas,535,D,"greedy, hashing, string suffix structures, strings",3631
Tavas and Karafs,535,C,"binary search, greedy, math",3651
Handshakes,534,D,"binary search, constructive algorithms, data structures, greedy",2318
Correcting Mistakes,533,E,"constructive algorithms, dp, greedy, hashing, strings, two pointers",2087
Board Game,533,C,"games, greedy, implementation, math",2105
Sum and product,530,E,*special,297
Group Photo 2 (online mirror version),529,B,"brute force, greedy, sortings",832
Clique Problem,527,D,"data structures, dp, greedy, implementation, sortings",4455
The Art of Dealing with ATM,524,C,"binary search, sortings",1954
Фото на память - 2 (round version),524,B,"dp, greedy",1419
A and B and Interesting Substrings,519,D,"data structures, dp, two pointers",6119
Ilya and Escalator,518,D,"combinatorics, dp, math, probabilities",6376
