Problem,Contest,Index,Tags
Path Queries,1213,G,"divide and conquer, dsu, graphs, sortings, trees"
Two Small Strings,1213,E,"brute force, constructive algorithms"
Ice Cream,1211,C,"*special, greedy, sortings"
Marcin and Training Camp,1210,B,"brute force, greedy"
Anadi and Domino,1210,A,"brute force, graphs"
Cow and Snacks,1209,D,"dfs and similar, dsu, graphs"
Restore Permutation,1208,D,"binary search, data structures, greedy, implementation"
Magic Grid,1208,C,constructive algorithms
XOR Guessing,1207,E,"bitmasks, interactive, math"
Number Of Permutations,1207,D,combinatorics
Shortest Cycle,1205,B,"bitmasks, brute force, graphs, shortest paths"
"Anna, Svyatoslav and Maps",1204,C,"dp, graphs, greedy, shortest paths"
Remove the Substring (hard version),1203,D2,"binary search, greedy, implementation, two pointers"
Print a 1337-string...,1202,D,"combinatorics, constructive algorithms, math, strings"
You Are Given a Decimal String...,1202,B,"brute force, dp, shortest paths"
White Lines,1200,D,"brute force, data structures, dp, implementation, two pointers"
Yet Another Subarray Problem,1197,D,"dp, greedy, math"
Connected Component on a Chessboard,1196,E,"constructive algorithms, implementation"
Submarine in the Rybinsk Sea (hard edition),1195,D2,"combinatorics, math, number theory"
1-2-K Game,1194,D,"games, math"
"Tokitsukaze, CSL and Stone Game",1190,B,games
Vasya And Array,1187,C,"constructive algorithms, greedy, implementation"
Vus the Cossack and Strings,1186,C,"implementation, math"
Extra Element,1185,D,"implementation, math"
Exam in BerSU (hard version),1185,C2,"brute force, data structures, greedy, math"
Daleks' Invasion (easy),1184,E1,"graphs, trees"
Subsequences (hard version),1183,H,"dp, strings"
Beautiful Lyrics,1182,C,"data structures, greedy, strings"
Flag,1181,C,"brute force, combinatorics, dp, implementation"
Tolik and His Uncle,1179,B,constructive algorithms
Archaeology,1178,E,"brute force, constructive algorithms, greedy, strings"
Digits Sequence (Hard Edition),1177,B,"binary search, divide and conquer, implementation"
Cover it!,1176,E,"dfs and similar, dsu, graphs, shortest paths, trees"
Recover it!,1176,D,"dfs and similar, graphs, greedy, number theory, sortings"
Array Splitting,1175,D,"greedy, sortings"
Ehab and the Expected XOR Problem,1174,D,"bitmasks, constructive algorithms"
Nauuo and Circle,1172,B,"combinatorics, dfs and similar, dp, trees"
Nauuo and Cards,1172,A,"greedy, implementation"
Good Triple,1168,B,"brute force, two pointers"
Increasing by Modulo,1168,A,"binary search, greedy"
Power Transmission (Hard Edition),1163,C2,"data structures, geometry, implementation, math"
Power Transmission (Easy Edition),1163,C1,"brute force, geometry"
Minimum Array,1157,E,"binary search, data structures, greedy"
N Problems During K Days,1157,D,"constructive algorithms, greedy, math"
Increasing Subsequence (hard version),1157,C2,greedy
Ugly Pairs,1156,B,"dfs and similar, greedy, implementation, sortings, strings"
Beautiful Array,1155,D,"brute force, data structures, divide and conquer, dp, greedy"
Two Teams,1154,E,"data structures, implementation, sortings"
Serval and Rooted Tree,1153,D,"binary search, dfs and similar, dp, greedy, trees"
Serval and Parenthesis Sequence,1153,C,"greedy, strings"
Neko does Maths,1152,C,"brute force, math, number theory"
Problem for Nazar,1151,C,"constructive algorithms, math"
Dirty Deeds Done Dirt Cheap,1148,D,"greedy, sortings"
Crazy Diamond,1148,C,"constructive algorithms, sortings"
Chladni Figure,1147,B,"brute force, strings"
Tree Diameter,1146,C,"bitmasks, graphs, interactive"
Graph Without Long Directed Paths,1144,F,"dfs and similar, graphs"
Median String,1144,E,"bitmasks, math, number theory, strings"
The Beatles,1142,A,"brute force, math"
Privatization of Roads in Treeland,1141,G,"binary search, constructive algorithms, dfs and similar, graphs, greedy, trees"
Same Sum Blocks (Hard),1141,F2,"data structures, greedy"
Same Sum Blocks (Easy),1141,F1,greedy
Superhero Battle,1141,E,math
Circus,1138,B,"brute force, greedy, math, strings"
Nastya Is Buying Lunch,1136,D,greedy
Spanning Tree with One Fixed Degree,1133,F2,"constructive algorithms, dfs and similar, dsu, graphs, greedy"
K Balanced Teams,1133,E,"dp, sortings, two pointers"
Painting the Fence,1132,C,brute force
Asya And Kittens,1131,F,"constructive algorithms, dsu"
Toy Train,1129,A2,"brute force, greedy"
Toy Train (Simplified),1129,A1,"brute force, greedy"
Diana and Liana,1120,A,"greedy, implementation, two pointers"
Pavel and Triangles,1119,E,"brute force, dp, fft, greedy, ternary search"
Frets On Fire,1119,D,"binary search, sortings"
Tree Cutting (Easy Version),1118,F1,"dfs and similar, trees"
Yet Another Ball Problem,1118,E,"constructive algorithms, implementation"
Coffee and Coursework (Hard Version),1118,D2,"binary search, greedy"
Coffee and Coursework (Easy version),1118,D1,"brute force, greedy"
Palindromic Matrix,1118,C,"constructive algorithms, implementation"
Magic Ship,1117,C,binary search
Block unitary,1115,U3,*special
Flood Fill,1114,D,dp
Trailing Loves (or L'oeufs?),1114,C,"brute force, implementation, math, number theory"
Creative Snap,1111,C,"binary search, brute force, divide and conquer, math"
Average Superhero Gang Power ,1111,B,"brute force, implementation, math"
Sasha and One More Name,1109,B,"constructive algorithms, hashing, strings"
Array and Segments (Easy version),1108,E1,"brute force, greedy, implementation"
Compression,1107,D,"dp, implementation, math, number theory"
Kilani and the Game,1105,D,"dfs and similar, graphs, implementation, shortest paths"
Monotonic Renumeration,1102,E,"combinatorics, sortings"
Easy Problem,1096,D,dp
Make It Connected,1095,F,"dsu, graphs, greedy"
Almost Regular Bracket Sequence,1095,E,implementation
Beautiful Graph,1093,D,"dfs and similar, graphs"
Tree with Maximum Cost,1092,F,"dfs and similar, dp, trees"
Prefixes and Suffixes,1092,C,strings
New Year and the Permutation Concatenation,1091,D,"combinatorics, dp, math"
Similar Arrays,1090,D,constructive algorithms
LaTeX Expert,1090,B,
Fractions,1089,F,math
Easy Chess,1089,E,constructive algorithms
Minimum Diameter Tree,1085,D,"constructive algorithms, implementation, trees"
The Fair Nut and the Best Path,1083,A,"data structures, dp, trees"
Maximum Diameter Graph,1082,D,"constructive algorithms, graphs, implementation"
Missing Numbers,1081,E,"binary search, constructive algorithms, greedy, math, number theory"
Maximum Distance,1081,D,"dsu, graphs, shortest paths, sortings"
Pictures with Kittens (easy version),1077,F1,dp
Thematic Contests,1077,E,"greedy, sortings"
Vasya and a Tree,1076,E,"data structures, trees"
Edge Deletion,1076,D,"graphs, greedy, shortest paths"
Berland Fair,1073,D,"binary search, brute force, data structures, greedy"
Vasya and Robot,1073,C,"binary search, two pointers"
Colored Rooks,1068,C,"constructive algorithms, graphs"
Multihedgehog,1067,B,"dfs and similar, graphs, shortest paths"
Array Without Local Maximums ,1067,A,dp
Binary Numbers AND Sum,1066,E,"data structures, implementation, math"
Boxes Packing,1066,D,"binary search, implementation"
"Dwarves, Hats and Extrasensory Abilities",1063,C,"binary search, constructive algorithms, geometry, interactive"
Labyrinth,1063,B,"graphs, shortest paths"
Fun with Integers,1062,D,"dfs and similar, graphs, implementation, math"
Multiplicity,1061,C,"data structures, dp, implementation, math, number theory"
Social Circles,1060,D,"greedy, math"
Pick Heroes,1056,C,"greedy, implementation, interactive, sortings"
Lucky Days,1055,C,"math, number theory"
Changing Array,1054,D,"greedy, implementation"
Bicolorings,1051,D,"bitmasks, dp"
Intersecting Subtrees,1044,B,"dfs and similar, interactive, trees"
The Tower is Going Home,1044,A,"binary search, two pointers"
"Train Hard, Win Easy",1043,E,"constructive algorithms, greedy, math, sortings"
Mysterious Crime,1043,D,"brute force, combinatorics, math, meet-in-the-middle, two pointers"
Petya and Array,1042,D,"data structures, divide and conquer, two pointers"
Array Product,1042,C,"constructive algorithms, greedy, math"
Tree Reconstruction,1041,E,"constructive algorithms, data structures, graphs, greedy"
Glider,1041,D,"binary search, data structures, two pointers"
Slime,1038,D,"dp, greedy, implementation"
Valid BFS?,1037,D,"dfs and similar, graphs, shortest paths, trees"
Classy Numbers,1036,C,"combinatorics, dp"
Enlarge GCD,1034,A,number theory
Barcelonian Distance,1032,D,"geometry, implementation"
Playing Piano,1032,C,"constructive algorithms, dp"
Minimum path,1031,D,greedy
Vasya and Triangle,1030,D,"geometry, number theory"
Concatenated Multiples,1029,D,"implementation, math"
Mouse Hunt,1027,D,"dfs and similar, graphs"
Array Restoration,1023,D,"constructive algorithms, data structures"
Elections,1019,A,"brute force, greedy"
The Wu,1017,D,"bitmasks, brute force, data structures"
Vasya And The Matrix,1016,D,"constructive algorithms, flows, math"
Vasya And The Mushrooms,1016,C,"dp, implementation"
Stars Drawing (Hard Edition),1015,E2,"binary search, dp, greedy"
Stars Drawing (Easy Edition),1015,E1,"brute force, dp, greedy"
Hills,1012,C,dp
Chemical table,1012,B,"constructive algorithms, dfs and similar, dsu, graphs, matrices"
Border,1010,C,number theory
Rocket,1010,B,"binary search, interactive"
Relatively Prime Graph,1009,D,"brute force, constructive algorithms, graphs, greedy, math"
Annoying Present,1009,C,"greedy, math"
Two Strings Swaps,1006,D,implementation
Median on Segments (Permutations Edition),1005,E1,sortings
Another array reconstruction algorithm,1002,E2,
Distinguish zero state and plus state without errors,1002,C2,
Distinguish zero state and plus state with minimum error,1002,C1,
Distinguish four 2-qubit states - 2,1002,B4,
Generate W state,1002,A4,
Deutsch-Jozsa algorithm,1001,I,*special
Yet Another Problem On a Subsequence,1000,D,"combinatorics, dp"
Covered Points Count,1000,C,"data structures, implementation, sortings"
Equalize the Remainders,999,D,"data structures, greedy, implementation"
Open Communication,993,B,"bitmasks, brute force"
Bus Number,991,E,"brute force, combinatorics, math"
Graph And Its Complement,990,D,"constructive algorithms, graphs, implementation"
A Mist of Florescence,989,C,"constructive algorithms, graphs"
Points and Powers of Two,988,D,"brute force, math"
Petr and Permutations,986,B,"combinatorics, math"
XOR-pyramid,983,B,dp
Finite or not?,983,A,"implementation, math"
Shark,982,D,"brute force, data structures, dsu, trees"
Bookshelves,981,D,"bitmasks, dp, greedy"
Posterized,980,C,"games, greedy"
Treasure Hunt,979,B,greedy
Petya's Exams,978,G,"greedy, implementation, sortings"
Consecutive Subsequence,977,F,dp
Single-use Stones,965,D,"binary search, flows, greedy, two pointers"
Alternating Sum,963,A,"math, number theory"
Tufurama,961,E,data structures
Subsequence Counting,960,C,"bitmasks, constructive algorithms, greedy, implementation"
Mahmoud and Ehab and the xor-MST,959,E,"bitmasks, dp, graphs, implementation, math"
Mahmoud and Ehab and another array construction task,959,D,"constructive algorithms, greedy, math, number theory"
Lightsabers (medium),958,F2,"binary search, two pointers"
Matrix Walk,954,C,implementation
I'm Feeling Lucky!,952,D,probabilities
A Map of the Cat,952,B,"brute force, interactive"
Data Center Maintenance,949,C,"dfs and similar, graphs"
A Leapfrog in the Array,949,B,"constructive algorithms, math"
Timetable,946,D,dp
Maximize!,939,E,"binary search, greedy, ternary search, two pointers"
Constructing Tests,938,C,"binary search, brute force, constructive algorithms"
Save Energy!,936,A,"binary search, implementation, math"
Fafa and Ancient Alphabet,935,D,"math, probabilities"
A Twisty Movement,933,A,dp
Laboratory Work,931,C,"implementation, math"
Teodor is not a liar!,930,C,"data structures, dp"
Красивая команда,929,C,"*special, combinatorics, math"
Autocompletion,928,D,"*special, strings, trees"
Dependency management,928,C,"*special, graphs, implementation"
A Vital Problem,926,I,
Merge Equal Elements,926,E,"constructive algorithms, data structures"
Is This a Zebra?,926,C,implementation
Add Points,926,B,
Resource Distribution,925,B,"binary search, implementation, sortings"
Riverside Curio,924,C,"data structures, dp, greedy"
Perfect Security,923,C,"data structures, greedy, strings, trees"
Primal Sport,923,A,"math, number theory"
Robot Vacuum Cleaner,922,D,"greedy, sortings"
Substring,919,D,"dfs and similar, dp, graphs"
MADMAX,917,B,"dfs and similar, dp, games, graphs"
The Monster,917,A,"dp, greedy, implementation, math"
Permute Digits,915,C,"dp, greedy"
Bash and a Tough Math Puzzle,914,D,"data structures, number theory"
Travelling Salesman and Special Numbers,914,C,"brute force, combinatorics, dp"
Too Easy Problems,913,D,"binary search, brute force, data structures, greedy, sortings"
Inversion Counting,911,D,"brute force, math"
Minimum Sum,910,C,"constructive algorithms, greedy, math"
Coprocessor,909,E,"dfs and similar, dp, graphs, greedy"
Python Indentation,909,C,dp
Remove Extra One,900,C,"brute force, data structures, math"
Shovel Sale,899,D,"constructive algorithms, math"
Nephren gives a riddle,896,A,"binary search, dfs and similar"
XK Segments,895,B,"binary search, math, sortings, two pointers"
Marco and GCD Sequence,894,C,"constructive algorithms, math"
Ralph And His Magic Field,894,B,"combinatorics, constructive algorithms, math, number theory"
Credit Card,893,D,"data structures, dp, greedy, implementation"
Maximum Subsequence,888,E,"bitmasks, divide and conquer, meet-in-the-middle"
Road Widening,883,K,"constructive algorithms, greedy, implementation"
Photo Processing,883,I,"binary search, dp"
Palindromic Cut,883,H,"brute force, implementation, strings"
Orientation of Edges,883,G,"dfs and similar, graphs"
Merge Sort,873,D,"constructive algorithms, divide and conquer"
The Intriguing Obsession,869,C,"combinatorics, dp, math"
Ordering Pizza,865,B,"binary search, sortings, ternary search"
Yet Another Array Queries Problem,863,D,"data structures, implementation"
1-2-3,863,C,"graphs, implementation"
Mahmoud and Ehab and the xor,862,C,constructive algorithms
Jury Meeting,853,B,"greedy, sortings, two pointers"
Bathroom terminal,852,G,implementation
Five Dimensional Points,850,A,"brute force, geometry, math"
Rooter's Song,848,B,"constructive algorithms, data structures, geometry, implementation, sortings, two pointers"
Travel Cards,847,K,"greedy, implementation, sortings"
Noise Level,847,I,"dfs and similar, implementation, math"
Packmen,847,E,"binary search, dp"
Sum of Nestings,847,C,constructive algorithms
Random Query,846,F,"data structures, math, probabilities, two pointers"
Monitor,846,D,"binary search, data structures"
Four Segments,846,C,"brute force, data structures, dp"
Math Show,846,B,"brute force, greedy"
Driving Test,845,D,"data structures, dp, greedy"
Game of the Rows,839,B,"brute force, greedy, implementation"
Palindromic characteristics,835,D,"brute force, dp, hashing, strings"
The Meaningless Game,833,A,"math, number theory"
"Misha, Grisha and Underground",832,D,"dfs and similar, graphs, trees"
Jury Marks,831,C,"brute force, constructive algorithms"
Office Keys,830,A,"binary search, brute force, dp, greedy, sortings"
High Load,827,B,"constructive algorithms, greedy, implementation, trees"
String Reconstruction,827,A,"data structures, greedy, sortings, strings"
My pretty girl Noora,822,D,"brute force, dp, greedy, math, number theory"
Mister B and PR Shifts,819,B,"data structures, implementation, math"
Card Game Again,818,E,"binary search, data structures, number theory, two pointers"
Multicolored Cars,818,D,"data structures, implementation"
Imbalanced Array,817,D,"data structures, divide and conquer, dsu, sortings"
Karen and Game,815,A,"brute force, greedy, implementation"
The Tag Game,813,C,"dfs and similar, graphs"
The Golden Age,813,B,"brute force, math"
Vladik and Memorable Trip,811,C,"dp, implementation"
Array Division,808,D,"binary search, data structures, implementation"
Magazine Ad,803,D,"binary search, greedy"
Maximal GCD,803,C,"constructive algorithms, greedy, math"
Heidi and Library (medium),802,B,"data structures, greedy"
Heidi and Library (easy),802,A,greedy
Fountains,799,C,"binary search, data structures, implementation"
Mike and gcd problem,798,C,"dp, greedy, number theory"
Minimal string,797,C,"data structures, greedy, strings"
Bank Hacking,796,C,"constructive algorithms, data structures, dp, trees"
Naming Company,794,C,"games, greedy, sortings"
Paths in a Complete Binary Tree,792,D,"bitmasks, trees"
Masha and geometric depression,789,B,"brute force, implementation, math"
Crunching Numbers Just for You,784,F,"*special, implementation"
Touchy-Feely Palindromes,784,D,"*special, implementation"
INTERCALC,784,C,"*special, implementation"
Numbers Joke,784,A,*special
Innokenty and a Football League,780,D,"2-sat, graphs, greedy, implementation, shortest paths, strings"
Bitwise Formula,778,B,"bitmasks, brute force, dfs and similar, expression parsing, implementation"
String Game,778,A,"binary search, greedy, strings"
Cloud of Hashtags,777,D,"binary search, greedy, implementation, strings"
Molly's Chemicals,776,C,"binary search, brute force, data structures, implementation, math"
Success Rate,773,A,"binary search, math"
Volatile Kite,772,B,geometry
Voltage Keepsake,772,A,"binary search, math"
k-Interesting Pairs Of Integers,769,D,"*special, bitmasks, brute force, meet-in-the-middle"
Cycle In Maze,769,C,"*special, dfs and similar, graphs, greedy, shortest paths"
Jon Snow and his Favourite Number,768,C,"brute force, dp, implementation, sortings"
Mahmoud and a Message,766,C,"brute force, dp, greedy, strings"
Artsem and Saunders,765,D,"constructive algorithms, dsu, math"
Dasha and Very Difficult Problem,761,D,"binary search, brute force, constructive algorithms, greedy, sortings"
Unfair Poll,758,C,"binary search, constructive algorithms, implementation, math"
Felicity is Coming!,757,C,"data structures, hashing, sortings, strings"
Pavel and barbecue,756,A,"constructive algorithms, dfs and similar"
New Year and Fireworks,750,D,"brute force, data structures, dfs and similar, dp, implementation"
Comments,747,E,"dfs and similar, expression parsing, implementation, strings"
Winter Is Coming,747,D,"dp, greedy, sortings"
Numbers Exchange,746,E,"greedy, implementation, math"
Hongcow's Game,744,B,"bitmasks, divide and conquer, interactive"
Chloe and pleasant prizes,743,D,"dfs and similar, dp, graphs, trees"
Alyona and a tree,739,B,"binary search, data structures, dfs and similar, graphs, trees"
Alyona and mex,739,A,"constructive algorithms, greedy"
Anton and Chess,734,D,implementation
Epidemic in Monstropolis,733,C,"constructive algorithms, dp, greedy, two pointers"
Exams,732,D,"binary search, greedy, sortings"
Video Cards,731,F,"brute force, data structures, implementation, math, number theory"
Bottles,730,J,dp
Minimum and Maximum,730,B,"constructive algorithms, interactive"
Toda 2,730,A,"greedy, implementation"
Subordinates,729,E,"constructive algorithms, data structures, graphs, greedy, sortings"
Sea Battle,729,D,"constructive algorithms, greedy, math"
Road to Cinema,729,C,"binary search, greedy, sortings"
T-shirts Distribution,727,D,"constructive algorithms, flows, greedy"
Contest Balloons,725,D,"data structures, greedy"
Dense Subsequence,724,D,"data structures, greedy, strings"
Ray Tracing,724,C,"greedy, hashing, implementation, math, number theory, sortings"
Generating Sets,722,D,"binary search, data structures, dfs and similar, greedy, strings, trees"
Journey,721,C,"dp, graphs"
Efim and Strange Grade,718,A,"dp, implementation, math"
"Paint it really, really dark gray",717,E,dfs and similar
Dexterina’s Lab,717,D,"games, matrices, probabilities"
Directed Roads,711,D,"combinatorics, dfs and similar, graphs, math"
Coloring Trees,711,C,dp
Recover the String,708,B,"constructive algorithms, greedy, implementation, math"
Vasiliy's Multiset,706,D,"binary search, bitmasks, data structures, trees"
Road to Post Office,702,D,math
Connecting Universities,700,B,"dfs and similar, dp, graphs, trees"
As Fast As Possible,700,A,"binary search, math"
Fix a Tree,698,B,"constructive algorithms, dfs and similar, dsu, graphs, trees"
Puzzles,696,B,"dfs and similar, math, probabilities, trees"
Xor-sequences,691,E,matrices
Swaps in Permutation,691,D,"dfs and similar, dsu, math"
Exponential notation,691,C,"implementation, strings"
Photographs (I),690,E1,
The Wall (medium),690,D2,combinatorics
Recover Polygon (easy),690,B1,
Mike and Chocolate Thieves,689,C,"binary search, combinatorics, math"
The Values You Can Make,687,C,dp
Remainders Game,687,B,"chinese remainder theorem, math, number theory"
Kay and Snowflake,685,B,"data structures, dfs and similar, dp, trees"
Robbers' watch,685,A,"brute force, combinatorics, dp, math"
Exchange of Books,683,H,*special
The Fraction,683,G,*special
Reformat the String,683,F,*special
Hammer throwing,683,E,*special
Alyona and Strings,682,D,"dp, strings"
Iterated Linear Function,678,D,"math, number theory"
Tree Construction,675,D,"data structures, trees"
Recycling Bottles,671,A,"dp, geometry, greedy, implementation"
Correct Bracket Sequence Editor,670,E,"data structures, dsu, strings"
Reberland Linguistics,666,A,"dp, implementation, strings"
Simple Subset,665,D,"constructive algorithms, greedy, number theory"
Rebus,663,A,"constructive algorithms, expression parsing, greedy, math"
Primes in Interval,661,F,*special
Seasons,661,B,*special
Number of Parallelograms,660,D,geometry
You're a Professional,656,G,*special
Ace It!,656,F,*special
Scrambled,656,B,"*special, implementation"
Da Vinci Powers,656,A,*special
Bear and Up-Down,653,C,"brute force, implementation"
Nested Segments,652,D,"data structures, sortings"
Foe Pairs,652,C,"combinatorics, sortings, two pointers"
Image Preview,650,B,"binary search, brute force, dp, two pointers"
Robot Rapping Results Report,645,D,"binary search, dp, graphs"
Processing Queries,644,B,"*special, constructive algorithms, data structures, two pointers"
Little Artem and Dance,641,C,"brute force, constructive algorithms, implementation"
Three-dimensional Turtle Super Computer ,638,D,"brute force, dfs and similar, graphs"
Road Improvement,638,C,"*special, dfs and similar, graphs, greedy, trees"
Spy Syndrome 2,633,C,"data structures, dp, hashing, implementation, sortings, string suffix structures, strings"
The Smallest String Concatenation,632,C,"sortings, strings"
Report,631,C,"data structures, sortings"
Pyramids,630,Q,"geometry, math"
Turn,630,M,"geometry, math"
Parking Lot,630,I,"combinatorics, math"
A rectangle,630,E,math
Factory Repairs,627,B,data structures
XOR Equation,627,A,"dp, math"
Jerry's Protest,626,D,"brute force, combinatorics, dp, probabilities"
Guest From the Past,625,A,"implementation, math"
Graph and String,623,A,"constructive algorithms, graphs"
Optimal Number Permutation,622,D,constructive algorithms
Not Equal on a Segment,622,C,"data structures, implementation"
Wet Shark and Flowers,621,C,"combinatorics, math, number theory, probabilities"
Polyline,617,D,"constructive algorithms, implementation"
Skills,613,B,"binary search, brute force, dp, greedy, sortings, two pointers"
Peter and Snow Blower,613,A,"binary search, geometry, ternary search"
The Union of k-Segments,612,D,"greedy, sortings"
Harmony Analysis,610,C,constructive algorithms
Zuma,607,B,dp
Lazy Student,605,B,"constructive algorithms, data structures, graphs"
Moodular Arithmetic,603,B,"combinatorics, dfs and similar, dsu, math, number theory"
Make Palindrome,600,C,"constructive algorithms, greedy, strings"
Spongebob and Squares,599,D,"brute force, math"
Igor In the Museum,598,D,"dfs and similar, graphs, shortest paths"
Subsequences,597,C,"data structures, dp"
Wilbur and Points,596,C,"combinatorics, greedy, sortings"
The Big Race,592,C,math
Median Smoothing,590,A,implementation
Phillip and Trains,585,B,"dfs and similar, graphs, shortest paths"
Gennady the Dentist,585,A,"brute force, implementation"
Dima and Lisa,584,D,"brute force, math, number theory"
Marina and Vasya,584,C,"constructive algorithms, greedy, strings"
Once Again...,582,B,"constructive algorithms, dp, matrices"
GCD Table,582,A,"constructive algorithms, greedy, number theory"
Three Logos,581,D,"bitmasks, brute force, constructive algorithms, geometry, implementation, math"
Kefa and Dishes,580,D,"bitmasks, dp"
"""Or"" Game",578,B,"brute force, greedy"
A Problem about Polyline,578,A,"geometry, math"
Modulo Sum,577,B,"combinatorics, data structures, dp, two pointers"
Bots,575,H,"combinatorics, dp, math, number theory"
Tablecity,575,D,"constructive algorithms, implementation"
Symmetric and Transitive,568,B,"combinatorics, dp, math"
One-Dimensional Battle Ships,567,D,"binary search, data structures, greedy, sortings"
Geometric Progression,567,C,"binary search, data structures, dp"
Restructuring Company,566,D,"data structures, dsu"
Equivalent Strings,559,B,"divide and conquer, hashing, sortings, strings"
Amr and Chemistry,558,C,"brute force, graphs, greedy, math, shortest paths"
Arthur and Table,557,C,"brute force, data structures, dp, greedy, math, sortings"
Kyoya and Permutation,553,B,"binary search, combinatorics, constructive algorithms, greedy, implementation, math"
Vanya and Triangles,552,D,"brute force, combinatorics, data structures, geometry, math, sortings"
Vanya and Scales,552,C,"brute force, dp, greedy, math, meet-in-the-middle, number theory"
ZgukistringZ,551,B,"brute force, constructive algorithms, implementation, strings"
Regular Bridge,550,D,"constructive algorithms, graphs, implementation"
Haar Features,549,D,"greedy, implementation"
Mike and Feet,547,B,"binary search, data structures, dp, dsu"
Soldier and Number Game,546,D,"constructive algorithms, dp, math, number theory"
Writing Code,543,A,dp
Bad Luck Island,540,D,"dp, probabilities"
School Marks,540,B,"greedy, implementation"
Weird Chess,538,D,"brute force, constructive algorithms, implementation"
Tavas and Malekas,535,D,"greedy, hashing, string suffix structures, strings"
Tavas and Karafs,535,C,"binary search, greedy, math"
Handshakes,534,D,"binary search, constructive algorithms, data structures, greedy"
Correcting Mistakes,533,E,"constructive algorithms, dp, greedy, hashing, strings, two pointers"
Board Game,533,C,"games, greedy, implementation, math"
Sum and product,530,E,*special
Group Photo 2 (online mirror version),529,B,"brute force, greedy, sortings"
Clique Problem,527,D,"data structures, dp, greedy, implementation, sortings"
The Art of Dealing with ATM,524,C,"binary search, sortings"
Фото на память - 2 (round version),524,B,"dp, greedy"
A and B and Interesting Substrings,519,D,"data structures, dp, two pointers"
Ilya and Escalator,518,D,"combinatorics, dp, math, probabilities"
Inversions problem,513,G1,"brute force, dfs and similar, dp, meet-in-the-middle"
Permutations,513,B2,"bitmasks, divide and conquer, math"
Fox And Jumping,510,D,"bitmasks, brute force, dp, math"
Guess Your Way Out!,507,C,"implementation, math, trees"
"Mr. Kitayuta, the Treasure Hunter",505,C,"dfs and similar, dp, two pointers"
New Year Santa Network,500,D,"combinatorics, dfs and similar, graphs, trees"
Crazy Town,498,A,geometry
Tennis Game,496,D,binary search
Vasya and Chess,493,D,"constructive algorithms, games, math"
Vanya and Computer Game,492,D,"binary search, implementation, math, sortings"
Chocolate,490,D,"brute force, dfs and similar, math, meet-in-the-middle, number theory"
Hacking Cypher,490,C,"brute force, math, number theory, strings"
Unbearable Controversy of Being,489,D,"brute force, combinatorics, dfs and similar, graphs"
Candy Boxes,488,B,"brute force, constructive algorithms, math"
Fight the Monster,487,A,"binary search, brute force, implementation"
Palindrome Transformation,486,C,"brute force, greedy, implementation"
Bits,484,A,"bitmasks, constructive algorithms"
Friends and Presents,483,B,"binary search, math"
Interesting Array,482,B,"constructive algorithms, data structures, trees"
Riding in a Lift,479,E,"combinatorics, dp"
Long Jumps,479,D,"binary search, greedy, implementation"
Table Decorations,478,C,greedy
Dreamoon and Sets,476,D,"constructive algorithms, greedy, math"
Flowers,474,D,dp
Design Tutorial: Inverse the Problem,472,D,"dfs and similar, dsu, shortest paths, trees"
MUH and Cube Walls,471,D,"string suffix structures, strings"
MUH and House of Cards,471,C,"binary search, brute force, greedy, math"
Chessboard,470,E,*special
Caesar Cipher,470,D,*special
Eval,470,C,*special
Hexakosioihexekontahexaphobia,470,B,*special
George and Job,467,C,"dp, implementation"
Number of Ways,466,C,"binary search, brute force, data structures, dp, two pointers"
No to Palindromes!,464,A,"greedy, strings"
Gargari and Permutations,463,D,"dfs and similar, dp, graphs, implementation"
Gargari and Bishops,463,C,"greedy, hashing, implementation"
Present,460,C,"binary search, data structures, greedy"
Pashmak and Graph,459,E,"dp, sortings"
Pashmak and Parmida's problem,459,D,"data structures, divide and conquer, sortings"
Pashmak and Buses,459,C,"combinatorics, constructive algorithms, math"
Distributed Join,457,B,greedy
Golden System,457,A,"math, meet-in-the-middle"
A Lot of Games,455,B,"dfs and similar, dp, games, implementation, strings, trees"
"Washer, Dryer, Folder",452,D,"greedy, implementation"
4-point polyline,452,B,"brute force, constructive algorithms, geometry, trees"
Predict Outcome of the Game,451,C,"brute force, implementation, math"
Jzzhu and Chocolate,449,A,"greedy, math"
Multiplication Table,448,D,"binary search, brute force"
Painting Fence,448,C,"divide and conquer, dp, greedy"
Andrey and Problem,442,B,"greedy, math, probabilities"
Borya and Hanabi,442,A,"bitmasks, brute force, implementation"
One-Based Arithmetic,440,C,"brute force, dfs and similar, divide and conquer"
Devu and his Brother,439,D,"binary search, sortings, ternary search, two pointers"
Devu and Partitioning of the Array,439,C,"brute force, constructive algorithms, implementation, number theory"
The Child and Zoo,437,D,"dsu, sortings"
Dungeons and Candies,436,C,"dsu, graphs, greedy, trees"
Ryouko's Memory Note,433,C,"implementation, math, sortings"
Prime Swaps,432,C,"greedy, sortings"
Checkposts,427,C,"dfs and similar, graphs, two pointers"
Bug in Code,421,D,"binary search, data structures, sortings"
Bug in Code,420,C,"data structures, graphs, implementation, two pointers"
Online Meeting,420,B,implementation
Cunning Gena,417,D,"bitmasks, dp, greedy, sortings"
E-mail Addresses,412,E,implementation
Kicker,411,C,implementation
000001,409,F,*special
Dome,409,E,*special
Big Data,409,D,*special
Magnum Opus,409,C,*special
Mysterious Language,409,B,*special
The Great Game,409,A,*special
Toy Sum,405,D,"greedy, implementation, math"
