Problem,Contest,Index,Tags
Meme Problem,1076,C,"binary search, math"
BerOS File Suggestion,1070,H,"brute force, implementation"
Debate,1070,F,greedy
Garbage Disposal,1070,D,greedy
Birthday,1068,A,math
Books Queries,1066,C,implementation
Heaters,1066,B,"greedy, two pointers"
Vasya and Isolated Vertices,1065,B,"constructive algorithms, graphs"
Oh Those Palindromes,1063,A,"constructive algorithms, strings"
Math,1062,B,"greedy, math, number theory"
A Prank,1062,A,"greedy, implementation"
Views Matter,1061,B,"greedy, implementation, sortings"
Forgery,1059,B,implementation
DDoS,1057,B,"*special, brute force"
Alice and Hairdresser,1055,B,"dsu, implementation"
Candies Distribution,1054,C,"constructive algorithms, implementation"
Vasya and Multisets,1051,C,"brute force, dp, greedy, implementation, math"
Splitting money,1046,F,implementation
Space Formula,1046,C,greedy
Smallest Word,1043,C,"constructive algorithms, greedy, implementation"
Shashlik Cooking,1040,B,"dp, greedy, math"
Gambling,1038,C,"greedy, sortings"
Equalize,1037,C,"dp, greedy, strings"
Reach Median,1037,B,greedy
Packets,1037,A,"constructive algorithms, greedy, math"
Curiosity Has No Limits,1031,B,
Vasya and Golden Ticket,1030,C,implementation
Many Equal Substrings,1029,A,"implementation, strings"
Segment Occurrences,1016,B,"brute force, implementation"
Photo of The Sky,1012,A,"brute force, implementation, math, sortings"
Fly,1010,A,"binary search, math"
Minimum Ternary String,1009,B,"greedy, implementation"
Reorder the Array,1007,A,"combinatorics, data structures, math, sortings, two pointers"
Polycarp and Div 3,1005,D,"dp, greedy, number theory"
Summarize to the Power of Two,1005,C,"brute force, greedy, implementation"
Sonya and Robots,1004,C,"constructive algorithms, implementation"
Sonya and Exhibition,1004,B,"constructive algorithms, greedy, implementation, math"
Intense Heat,1003,C,"brute force, implementation, math"
Binary String Constructing,1003,B,constructive algorithms
Bernstein-Vazirani algorithm,1002,E1,
Oracle for f(x) = b * x + (1 - b) * (1 - x) mod 2,1002,D2,
Distinguish zero state and W state,1002,B1,
Generate superposition of two basis states,1002,A3,
Generate superposition of zero state and a basis state,1002,A2,
Oracle for f(x) = k-th element of x,1001,G,*special
Distinguish multi-qubit basis states,1001,F,*special
Distinguish plus state and minus state,1001,D,*special
Generate GHZ state,1001,C,*special
Generate Bell state,1001,B,*special
Light It Up,1000,B,greedy
Convert to Ones,997,A,"brute force, greedy, implementation, math"
World Cup,996,B,"binary search, math"
Suit and Tie,995,B,"greedy, implementation, math"
Knights of a Polygonal Table,994,B,"greedy, implementation, sortings"
Bishwock,991,D,"dp, greedy"
Candies,991,C,"binary search, implementation"
Bracket Sequences Concatenation Problem,990,C,implementation
Equal Sums,988,C,"implementation, sortings"
Three displays,987,C,"brute force, dp, implementation"
Liebig's Barrels,985,C,greedy
Cut 'em all!,982,C,"dfs and similar, dp, graphs, greedy, trees"
Bus of Characters,982,B,"data structures, greedy, implementation"
Useful Decomposition,981,C,"implementation, trees"
Mentors,978,F,"binary search, data structures, implementation"
Bus Video System,978,E,"combinatorics, math"
Almost Arithmetic Progression,978,D,"brute force, implementation, math"
Cyclic Components,977,E,"dfs and similar, dsu, graphs"
"Divide by three, multiply by two",977,D,"dfs and similar, math, sortings"
Nested Segments,976,C,"greedy, implementation, sortings"
Lara Croft and the New Game,976,B,"implementation, math"
Valhalla Siege,975,C,binary search
Battleship,965,B,implementation
Messages,964,B,math
Make a Square,962,C,"brute force, implementation, math"
Students in Railway Carriage,962,B,"constructive algorithms, greedy, implementation"
Equator,962,A,implementation
Chessboard,961,C,"bitmasks, brute force, implementation"
Minimize the error,960,B,"data structures, greedy, sortings"
Mahmoud and Ehab and the wrong algorithm,959,C,"constructive algorithms, trees"
Lightsabers (easy),958,F1,implementation
Hyperspace Jump (easy),958,D1,"expression parsing, math"
Death Stars (easy),958,A1,implementation
Tritonic Iridescence,957,A,implementation
Not simply beatiful strings,955,B,implementation
String Typing,954,B,"implementation, strings"
String Transformation,946,C,"greedy, strings"
Phone Numbers,940,C,"constructive algorithms, implementation, strings"
Our Tanya is Crying Out Loud,940,B,"dp, greedy"
Vile Grasshoppers,937,B,"brute force, math, number theory"
A Compatible Pair,934,A,"brute force, games"
Recursive Queries,932,B,"binary search, data structures, dfs and similar"
Peculiar apple-tree,930,A,"dfs and similar, graphs, trees"
Места в самолёте,929,B,"*special, implementation"
Прокат велосипедов,929,A,"*special, greedy, implementation"
Chat,928,B,"*special, dp"
Large Bouquets,926,G,
2-3-numbers,926,A,"implementation, math"
Mystical Mosaic,924,A,"greedy, implementation"
Magic Forest,922,B,brute force
Cloning Toys,922,A,implementation
Swap Adjacent Elements,920,C,"dfs and similar, greedy, math, sortings, two pointers"
Seat Arrangements,919,C,"brute force, implementation"
Browser,915,B,implementation
New Year's Eve,912,B,"bitmasks, constructive algorithms, number theory"
Three Garlands,911,C,"brute force, constructive algorithms"
Segments,909,B,"constructive algorithms, math"
New Year and Curling,908,C,"brute force, geometry, implementation, math"
Tic-Tac-Toe,907,B,implementation
Masha and Bears,907,A,"brute force, implementation"
Hashing Trees,901,A,"constructive algorithms, trees"
Position in Fraction,900,B,"math, number theory"
Dividing the numbers,899,C,"constructive algorithms, graphs, math"
Phone Numbers,898,C,"implementation, strings"
Chtholly's request,897,B,brute force
Rumor,893,C,"dfs and similar, graphs, greedy"
Pride,891,A,"brute force, dp, greedy, math, number theory"
K-Dominant Character,888,C,"binary search, implementation, two pointers"
Solution for Cube,887,C,"brute force, implementation"
Cubes for Masha,887,B,"brute force, implementation"
Petya and Catacombs,886,C,"dsu, greedy, implementation, trees"
Bertown Subway,884,C,"dfs and similar, greedy, math"
Lost in Transliteration,883,F,implementation
Field of Wonders,883,E,"implementation, strings"
Nikita and string,877,B,"brute force, dp"
Divisiblity of Differences,876,B,"implementation, math, number theory"
Sorting the Coins,875,B,"dsu, implementation, sortings, two pointers"
Balanced Substring,873,B,"dp, implementation"
Maximum splitting,870,C,"dp, greedy, math, number theory"
Qualification Rounds,868,C,"bitmasks, brute force, constructive algorithms, dp"
Race Against Time,868,B,implementation
Save the problem!,865,A,constructive algorithms
Make a Permutation!,864,D,"greedy, implementation, math"
Bus,864,C,"greedy, implementation, math"
Kayaking,863,B,"brute force, greedy, sortings"
Mahmoud and Ehab and the bipartiteness,862,B,"dfs and similar, graphs, trees"
Pie Rules,859,C,"dp, games"
Did you mean...,858,C,"dp, greedy, implementation"
Which floor?,858,B,"brute force, implementation"
Marvolo Gaunt's Ring,855,B,"brute force, data structures, dp"
Planning,853,A,greedy
Arpa and an exam about geometry,851,B,"geometry, math"
Union of Doubly Linked Lists,847,A,implementation
Curriculum Vitae,846,A,"brute force, implementation"
Two TVs,845,C,"data structures, greedy, sortings"
Rectangles,844,B,"combinatorics, math"
Sorting by Subsequences,843,A,"dfs and similar, dsu, implementation, math, sortings"
Leha and Function,840,A,"combinatorics, greedy, math, number theory, sortings"
Journey,839,C,"dfs and similar, dp, graphs, probabilities, trees"
Binary Blocks,838,A,brute force
Two Seals,837,C,"brute force, implementation"
Black Square,828,B,implementation
Suitable Replacement,825,D,"binary search, greedy, implementation"
Okabe and Boxes,821,C,"data structures, greedy, trees"
Okabe and Banana Trees,821,B,"brute force, math"
Mister B and Angle in Polygon,820,B,"constructive algorithms, geometry, math"
Makes And The Product,817,B,"combinatorics, implementation, math, sortings"
Karen and Coffee,816,B,"binary search, data structures, implementation"
An express train to reveries,814,B,constructive algorithms
Sagheer and Nubian Market,812,C,"binary search, sortings"
Summer sell-off,810,B,"greedy, sortings"
Do you want a date?,809,A,"implementation, math, sortings"
Tea Party,808,C,"constructive algorithms, greedy, sortings"
Average Sleep Time,808,B,"data structures, implementation, math"
T-Shirt Hunt,807,B,"brute force, implementation"
Minimum number of steps,804,B,"combinatorics, greedy, implementation, math"
Maximal Binary Matrix,803,A,constructive algorithms
Send the Fool Further! (easy),802,J,"dfs and similar, graphs, trees"
T-shirt buying,799,B,"data structures, implementation"
Mike and strings,798,B,"brute force, dp, strings"
Odd sum,797,B,"dp, greedy, implementation"
Find The Bone,796,B,implementation
Counting-out Rhyme,792,B,implementation
Not Afraid,787,B,"greedy, implementation, math"
Game of Credit Cards,777,B,"data structures, dp, greedy, sortings"
Lie or Truth,774,D,"*special, constructive algorithms, implementation, sortings"
Bear and Different Names,771,B,"constructive algorithms, greedy"
Bear and Friendship Condition,771,A,"dfs and similar, dsu, graphs"
Draw Brackets!,770,D,"*special, implementation"
Online Courses In BSU,770,C,"*special, dfs and similar, graphs, implementation"
Maximize Sum of Digits,770,B,"*special, implementation, math"
USB vs. PS/2,762,B,"greedy, implementation, sortings, two pointers"
k-th divisor,762,A,"math, number theory"
Dasha and Password,761,C,"brute force, dp, implementation"
Dasha and friends,761,B,"brute force, implementation, math"
Frodo and pillows,760,B,"binary search, greedy"
Bash's Big Day,757,B,"greedy, math, number theory"
PolandBall and Forest,755,C,"dfs and similar, dsu, graphs, interactive, trees"
New Year and North Pole,750,B,"geometry, implementation"
Voting,749,C,"greedy, implementation, two pointers"
Santa Claus and Robot,748,C,"constructive algorithms, math"
Santa Claus and Keyboard Check,748,B,"implementation, strings"
Servers,747,C,implementation
Green and Black Tea,746,D,"constructive algorithms, greedy, math"
Hongcow Solves A Puzzle,745,B,implementation
Hongcow Builds A Nation,744,A,"dfs and similar, graphs"
Vladik and fractions,743,C,"brute force, constructive algorithms, math, number theory"
Arpa’s obvious problem and Mehrdad’s terrible solution,742,B,"brute force, math, number theory"
Alyona and copybooks,740,A,"brute force, implementation"
Delete Them,730,H,"constructive algorithms, implementation"
Guess the Array,727,C,"constructive algorithms, interactive, math"
Batch Sort,724,B,"brute force, greedy, implementation, math"
Broken Clock,722,A,"brute force, implementation"
Anatoly and Cockroaches,719,B,greedy
Complete the Word,716,B,"greedy, two pointers"
Sonya and Queries,713,A,"data structures, implementation"
Chris and Magic Square,711,B,"constructive algorithms, implementation"
Magic Odd Square,710,C,"constructive algorithms, math"
Optimal Point on a Line,710,B,"brute force, sortings"
Checkpoints,709,B,"greedy, implementation, sortings"
Pythagorean Triples,707,C,"math, number theory"
Bakery,707,B,graphs
Mishka and trip,703,B,"implementation, math"
Cellular Network,702,C,"binary search, implementation, two pointers"
Powers of Two,702,B,"brute force, data structures, implementation, math"
They Are Everywhere,701,C,"binary search, strings, two pointers"
One Bomb,699,B,implementation
Vacations,698,A,dp
Barnicle,697,B,"brute force, implementation, math, strings"
Lorenzo Von Matterhorn,696,A,"brute force, data structures, implementation, trees"
Tree of Life (easy),690,F1,
Brain Network (medium),690,C2,"dfs and similar, graphs, trees"
Brain Network (easy),690,C1,
Mike and Cellphone,689,A,"brute force, constructive algorithms, implementation"
NP-Hard Problem,687,A,"dfs and similar, graphs"
Chocolate Bar,683,D,"*special, math"
Economy Game,681,B,brute force
Bear and Prime 100,679,A,"constructive algorithms, interactive, math"
Vanya and Label,677,C,"bitmasks, combinatorics, implementation, strings"
Vanya and Food Processor,677,B,"implementation, math"
Vasya and String,676,C,"binary search, dp, strings, two pointers"
Pyramid of Glasses,676,B,"implementation, math, math"
Restoring Painting,675,B,"brute force, constructive algorithms, math"
Problems for Round,673,B,"greedy, implementation"
Magic Powder - 2,670,D2,"binary search, implementation"
Magic Powder - 1,670,D1,"binary search, brute force, implementation"
Cinema,670,C,"implementation, sortings"
Simple Strings,665,C,"dp, greedy, strings"
Shopping,665,B,brute force
Lazy Caterer Sequence,661,A,*special
Bicycle Race,659,D,"geometry, implementation, math"
Qualifying Contest,659,B,"constructive algorithms, sortings"
Bear and Compressing,653,B,"brute force, dfs and similar, dp, strings"
Gabriel and Caterpillar,652,A,"implementation, math"
Watchmen,650,A,"data structures, geometry, math"
Bear and Colors,643,A,implementation
Little Artem and Matrix,641,B,implementation
Making Genome in Berland,638,B,"*special, dfs and similar, strings"
Promocodes with Mistakes,637,C,"*special, brute force, constructive algorithms, implementation"
Island Puzzle,634,A,"constructive algorithms, implementation"
A Trivial Problem,633,B,"brute force, constructive algorithms, math, number theory"
"Alice, Bob, Two Teams",632,B,"brute force, constructive algorithms"
Forecast,630,N,math
Cracking the Code,630,L,"implementation, math"
Indivisibility,630,K,"math, number theory"
Benches,630,H,"combinatorics, math"
Selection of Personnel,630,F,"combinatorics, math"
Bear and String Distance,628,C,"greedy, strings"
New Skateboard,628,B,dp
Cards,626,B,"constructive algorithms, dp, math"
K-special Tables,625,C,"constructive algorithms, implementation"
Wet Shark and Bishops,621,B,"combinatorics, implementation"
Pearls in a Row,620,C,greedy
Chocolate,617,B,combinatorics
Gena's Code,614,B,"implementation, math"
Link/Cut Tree,614,A,"brute force, implementation"
Replace To Make Regular Bracket Sequence,612,C,"data structures, expression parsing, math"
The Text Splitting,612,A,"brute force, implementation, strings"
New Year and Domino,611,C,"dp, implementation"
New Year and Old Property,611,B,"bitmasks, brute force, implementation"
Vika and Squares,610,B,"constructive algorithms, implementation"
Load Balancing,609,C,"implementation, math"
Hamming Distance Sum,608,B,"combinatorics, strings"
More Cowbell,604,B,"binary search, greedy"
Approximating a Constant Range,602,B,"dp, implementation, two pointers"
Queries about less or equal elements,600,B,"binary search, data structures, sortings, two pointers"
Spongebob and Joke,599,B,implementation
Queries on a String,598,B,"implementation, strings"
Duff in Love,588,B,math
Duff and Weight Lifting,587,A,greedy
Laurenty and Shop,586,B,implementation
Kolya and Tanya ,584,B,combinatorics
Developing Skills,581,C,"implementation, math, sortings"
Kefa and Park,580,C,"dfs and similar, graphs, trees"
Kefa and Company,580,B,"binary search, sortings, two pointers"
Finding Team Member,579,B,"brute force, implementation, sortings"
Vasya and Petya's Game,576,A,"math, number theory"
Bear and Three Musketeers,574,B,"brute force, dfs and similar, graphs, hashing"
Bear and Poker,573,A,"implementation, math, number theory"
Order Book,572,B,"data structures, greedy, implementation, sortings"
Simple Game,570,B,"constructive algorithms, games, greedy, implementation, math"
Music,569,A,"implementation, math"
Berland National Library,567,B,implementation
Clique in the Divisibility Graph,566,F,"dp, math, number theory"
Amr and The Large Array,558,B,implementation
Pasha and Tea,557,B,"constructive algorithms, implementation, math, sortings"
Case of Matryoshkas,555,A,implementation
Kyoya and Colored Balls,553,A,"combinatorics, dp, math"
Divisibility by Eight,550,C,"brute force, dp, math"
Preparing Olympiad,550,B,"bitmasks, brute force"
Two Substrings,550,A,"brute force, dp, greedy, implementation, strings"
Mike and Fun,548,B,"brute force, dp, greedy, implementation"
Soldier and Cards,546,C,"brute force, dfs and similar, games"
Queue,545,D,"greedy, implementation, sortings"
Woodcutters,545,C,"dp, greedy"
Sea and Islands,544,B,"constructive algorithms, implementation"
Quasi Binary,538,B,"constructive algorithms, dp, greedy, implementation"
Cutting Banner,538,A,"brute force, implementation"
Covered Path,534,B,"dp, greedy, math"
Diophantine equation,530,C,*special
Quadratic equation,530,A,*special
Glass Carving,527,C,"binary search, data structures, implementation"
Error Correct System,527,B,greedy
Om Nom and Dark Park,526,B,"dfs and similar, greedy, implementation"
King of Thieves,526,A,"brute force, implementation"
Pasha and String,525,B,"constructive algorithms, greedy, math, strings"
Name Quest,523,C,"*special, greedy"
Mean Requests,523,B,"*special, implementation"
DNA Alignment,520,C,"math, strings"
Two Buttons,520,B,"dfs and similar, graphs, greedy, implementation, math, shortest paths"
A and B and Team Training,519,C,"greedy, implementation, math, number theory"
Tanya and Postcard,518,B,"greedy, implementation, strings"
Drazil and Factorial,515,C,"greedy, math, sortings"
Drazil and His Happy Friends,515,B,"brute force, dsu, meet-in-the-middle, number theory"
Han Solo and Lazer Gun,514,B,"brute force, data structures, geometry, implementation, math"
Permutations,513,B1,brute force
Fox And Two Dots,510,B,dfs and similar
Painting Pebbles,509,B,"constructive algorithms, greedy, implementation"
Anton and currency you all know,508,B,"greedy, math, strings"
Amr and Pins,507,B,"geometry, math"
Mr. Kitayuta's Colorful Graph,505,B,"dfs and similar, dp, dsu, graphs"
Misha and Forest,501,C,"constructive algorithms, data structures, greedy, sortings, trees"
Removing Columns,496,C,"brute force, constructive algorithms, implementation"
Secret Combination,496,B,"brute force, constructive algorithms, implementation"
Treasure,494,A,greedy
Vasya and Wrestling,493,B,implementation
Vasya and Football,493,A,implementation
Vanya and Exams,492,C,"greedy, sortings"
Queue,490,B,"dsu, implementation"
Given Length and Sum of Digits...,489,C,"dp, greedy, implementation"
OR in Matrix,486,B,"greedy, hashing, implementation"
Valuable Resources,485,B,"brute force, greedy"
Factory,485,A,"implementation, math, matrices"
Exams,479,C,"greedy, sortings"
Towers,479,B,"brute force, constructive algorithms, greedy, implementation, sortings"
Random Teams,478,B,"combinatorics, constructive algorithms, greedy, math"
Dreamoon and WiFi,476,B,"bitmasks, brute force, combinatorics, dp, math, probabilities"
Strongly Connected City,475,B,"brute force, dfs and similar, graphs, implementation"
Design Tutorial: Make It Nondeterministic,472,C,greedy
Design Tutorial: Learn from Life,472,B,
MUH and Important Things,471,B,"implementation, sortings"
Crystal Ball Sequence,470,A,"*special, implementation"
Chat Online,469,B,implementation
24 Game,468,A,"constructive algorithms, greedy, math"
Appleman and Card Game,462,B,greedy
Little Dima and Equation,460,B,"brute force, implementation, math, number theory"
Pashmak and Flowers,459,B,"combinatorics, implementation, sortings"
Boredom,455,A,dp
Sort the Array,451,B,"implementation, sortings"
Jzzhu and Sequences,450,B,"implementation, math"
Suffix Structures,448,B,"implementation, strings"
DZY Loves Chemistry,445,B,"dfs and similar, dsu, greedy"
Kolya and Tandem Repeat,443,B,"brute force, implementation, strings"
Valera and Tubes ,441,C,"constructive algorithms, dfs and similar, implementation"
Valera and Fruits,441,B,"greedy, implementation"
The Child and Toy,437,C,"graphs, greedy, sortings"
The Child and Set,437,B,"bitmasks, greedy, implementation, sortings"
The Child and Homework,437,A,implementation
Om Nom and Spiders,436,B,"implementation, math"
Feed with Candy,436,A,greedy
Pasha Maximizes,435,B,greedy
Balls Game,430,B,"brute force, two pointers"
Xor-tree,429,A,"dfs and similar, trees"
Sereja and Mirroring,426,B,implementation
Sereja and Swaps,425,A,"brute force, sortings"
Football,417,C,"constructive algorithms, graphs, implementation"
Crash,417,B,implementation
Elimination,417,A,"dp, implementation, math"
Art Union,416,B,"brute force, dp, implementation"
Guess a number!,416,A,"greedy, implementation, two pointers"
Mashmokh and Tokens,415,B,"binary search, greedy, implementation, math"
Mashmokh and ACM,414,B,"combinatorics, dp, number theory"
Mashmokh and Numbers,414,A,"constructive algorithms, number theory"
Jeopardy!,413,C,"greedy, math"
Spyke Chatting,413,B,implementation
A + B Strikes Back,409,H,"*special, brute force, constructive algorithms, dsu, implementation"
Marathon,404,B,"implementation, math"
Searching for Graph,402,C,"brute force, constructive algorithms, graphs"
Trees in a Row,402,B,"brute force, implementation"
Team,401,C,"constructive algorithms, greedy, implementation"
Inna and Huge Candy Matrix,400,C,"implementation, math"
Fox and Box Accumulation,388,A,"greedy, sortings"
"Fly, freebies, fly!",386,B,"binary search, brute force, implementation"
Multitasking,384,B,"greedy, implementation, sortings, two pointers"
New Year Ratings Change,379,C,"greedy, sortings"
Semifinals,378,B,"implementation, sortings"
I.O.U.,376,B,implementation
Inna and Nine,374,B,"combinatorics, greedy"
Fox Dividing Cheese,371,B,"math, number theory"
Berland Bingo,370,B,implementation
Valera and Contest,369,B,"constructive algorithms, implementation, math"
Sereja and Algorithm ,367,A,"data structures, implementation"
Fixing Typos,363,C,"greedy, implementation"
Two Semiknights Meet,362,A,"greedy, math"
Permutation,359,B,"constructive algorithms, dp, math"
Dima and Text Messages,358,B,"brute force, strings"
Dima and Continuous Line,358,A,"brute force, implementation"
Flag Day,357,B,"constructive algorithms, implementation"
Knight Tournament,356,A,"data structures, dsu"
Vasya and Robot,354,A,"brute force, greedy, math"
Jeff and Periods,352,B,"implementation, sortings"
Resort,350,B,graphs
Difference Row,347,A,"constructive algorithms, implementation, sortings"
Expecting Trouble,345,A,"*special, probabilities"
Xenia and Spies,342,B,"brute force, greedy, implementation"
Bubble Sort Graph,340,D,"binary search, data structures, dp"
Routine Problem,337,B,"greedy, math, number theory"
Banana,335,A,"binary search, constructive algorithms, greedy"
Eight Point Sets,334,B,sortings
Maximum Absurdity,332,B,"data structures, dp, implementation"
Down the Hatch!,332,A,implementation
Oh Sweet Beaverette,331,A2,"data structures, sortings"
Oh Sweet Beaverette,331,A1,"brute force, implementation"
Road Construction,330,B,"constructive algorithms, graphs"
Biridian Forest,329,B,"dfs and similar, shortest paths"
Purification,329,A,"constructive algorithms, greedy"
Sheldon and Ice Pieces,328,B,greedy
Square and Rectangles,325,A,implementation
Ping-Pong (Easy Version),320,B,"dfs and similar, graphs"
Strings of Power,318,B,"implementation, strings, two pointers"
Summer Homework,316,E1,"brute force, data structures"
EKG,316,B1,"brute force, dfs and similar"
Special Task,316,A2,math
Sereja and Bottles,315,A,brute force
Ilya and Matrix,313,C,"constructive algorithms, greedy, implementation, sortings"
Archer,312,B,"math, probabilities"
The Closest Pair,311,A,"constructive algorithms, implementation"
Calendar,304,B,"brute force, implementation"
Lucky Permutation Triple,303,A,"constructive algorithms, implementation, math"
Coach,300,B,"brute force, dfs and similar, graphs"
Snow Footprints,298,A,"greedy, implementation"
Greg and Array,295,A,"data structures, implementation"
Weird Game,293,A,"games, greedy"
Command Line Arguments,291,B,"*special, implementation, strings"
Orange,290,D,"*special, implementation"
QR code,290,B,"*special, implementation"
Mysterious strings,290,A,"*special, implementation"
Polo the Penguin and Matrix,289,B,"brute force, dp, implementation, sortings, ternary search"
Polo the Penguin and Houses ,288,B,combinatorics
Polo the Penguin and Strings,288,A,greedy
Lucky Permutation,286,A,"constructive algorithms, math"
Cows and Primitive Roots,284,A,"implementation, math, number theory"
XOR and OR,282,C,"constructive algorithms, implementation, math"
Painting Eggs,282,B,"greedy, math"
Books,279,B,"binary search, brute force, implementation, two pointers"
Point on Spiral,279,A,"brute force, geometry, implementation"
New Problem,278,B,"brute force, strings"
Learning Languages,277,A,"dfs and similar, dsu"
Little Girl and Maximum Sum,276,C,"data structures, greedy, implementation, sortings"
Little Girl and Game,276,B,"games, greedy"
k-Multiple Free Set,274,A,"binary search, greedy, sortings"
Dima and Staircase,272,C,"data structures, implementation"
Dima and Sequence,272,B,"implementation, math"
Secret,271,C,"constructive algorithms, implementation"
Prime Matrix,271,B,"binary search, brute force, math, number theory"
Multithreading,270,B,"data structures, greedy, implementation"
Beautiful Sets of Points,268,C,"constructive algorithms, implementation"
Good Sequences,264,B,"dp, number theory"
Maxim and Discounts,261,A,"greedy, sortings"
Adding Digits,260,A,"implementation, math"
Playing Cubes,257,B,"games, greedy, implementation"
Almost Arithmetical Progression,255,C,"brute force, dp"
Jury Size,254,B,"brute force, implementation"
Physics Practical,253,B,"binary search, dp, sortings, two pointers"
Points on Line,251,A,"binary search, combinatorics, two pointers"
Restoring IPv6,250,B,"implementation, strings"
Chilly Willy,248,B,"math, number theory"
Increase and Decrease,246,B,"greedy, math"
Mishap in Club,245,E,"greedy, implementation"
Restoring Table,245,D,"constructive algorithms, greedy"
Old Peykan,241,A,greedy
Easy Tape Programming,239,B,"brute force, implementation"
Not Wool Sequences,238,A,"constructive algorithms, math"
Young Table,237,B,"implementation, sortings"
Easy Number Challenge,236,B,"implementation, number theory"
Weather,234,C,"dp, implementation"
Non-square Equation,233,B,"binary search, brute force, math"
"Magic, Wizardry and Wonders",231,B,"constructive algorithms, greedy"
T-primes,230,B,"binary search, implementation, math, number theory"
Shifts,229,A,"brute force, two pointers"
Two Tables,228,B,"brute force, implementation"
Where do I Turn?,227,A,geometry
Flying Saucer Segments,226,A,math
Array,224,B,"bitmasks, implementation, two pointers"
Cosmic Tables,222,B,"data structures, implementation"
Little Elephant and Numbers,221,B,implementation
Little Elephant and Problem,220,A,"implementation, sortings"
Special Offer! Super Price 999 Bourles!,219,B,implementation
Olympic Medal,215,B,"greedy, math"
IT Restaurants,212,E,"dfs and similar, dp, trees"
Little Elephant and Sorting,205,B,"brute force, greedy"
Little Elephant and Cards,204,B,"binary search, data structures"
Little Elephant and Interval,204,A,"binary search, combinatorics, dp"
Photographer,203,C,"greedy, sortings"
Game on Paper,203,B,"brute force, implementation"
Jumping on Walls,198,B,shortest paths
Limit,197,B,math
After Training,195,B,"data structures, implementation, math"
Funky Numbers,192,A,"binary search, brute force, implementation"
Dynasty Puzzles,191,A,dp
STL,190,C,dfs and similar
Counting Rhombi,189,B,"brute force, math"
Cut Ribbon,189,A,"brute force, dp"
Binary Notation,188,F,"*special, implementation"
HQ9+,188,E,"*special, implementation"
LCM,188,C,"*special, implementation, math"
A + Reverse B,188,B,"*special, implementation"
Permutations,187,A,greedy
Plant,185,A,math
Common Divisors,182,D,"brute force, hashing, implementation, math, strings"
Number of Triplets,181,B,"binary search, brute force"
Letter,180,C,dp
Magic Squares,178,D1,
Encrypting Messages,177,D2,data structures
Party,177,C2,"brute force, dfs and similar, dsu, graphs"
Party,177,C1,"dfs and similar, dsu, graphs"
Plane of Tanks: Pro,175,B,implementation
Robot Bicorn Attack,175,A,"brute force, implementation"
File List,174,B,"dp, greedy, implementation"
Rock-Paper-Scissors,173,A,"implementation, math"
Calendar Reform,172,D,"*special, number theory"
Bus,172,C,"*special, implementation, sortings"
Broken checker,171,D,"*special, brute force"
Star,171,B,"*special, combinatorics"
Tetrahedron,166,E,"dp, math, matrices"
Median,166,C,"greedy, math, sortings"
Burning Midnight Oil,165,B,"binary search, implementation"
Dress'em in Vests!,161,A,"binary search, brute force, greedy, two pointers"
Palindrome pairs,159,D,"*special, brute force, dp, strings"
String Manipulation 1.0,159,C,"*special, binary search, brute force, data structures, strings"
Friends or Not,159,A,"*special, greedy, implementation"
Ice Sculptures,158,D,"*special, brute force, number theory"
Cd and pwd commands,158,C,"*special, data structures, implementation"
Pocket Book,152,C,combinatorics
Steps,152,B,"binary search, implementation"
Win or Freeze,150,A,"games, math, number theory"
Division into Teams,149,C,"greedy, math, sortings"
Escape,148,B,"implementation, math"
Punctuation,147,A,"implementation, strings"
Lucky Mask,146,B,"brute force, implementation"
Anagram Search,144,C,"implementation, strings"
Meeting,144,B,implementation
Hopscotch,141,B,"geometry, math"
History,137,C,sortings
Replacement,135,A,"greedy, implementation, sortings"
Turing Tape,132,A,implementation
The World is a Theatre,131,C,"combinatorics, math"
Exponentiation,130,D,*special
Decimal sum,130,C,*special
Gnikool Ssalg,130,B,"*special, implementation, strings"
Statues,128,A,dfs and similar
Measuring Lengths in Baden,125,A,math
Permutations,124,B,"brute force, combinatorics, implementation"
Prime Permutation,123,A,"implementation, number theory, strings"
Lucky Transformation,121,B,strings
Spiders,120,F,"dp, greedy, trees"
Put Knight!,120,E,"games, math"
Three Sons,120,D,brute force
Elevator,117,A,"implementation, math"
Lawnmower,115,B,"greedy, sortings"
PFAST Inc.,114,B,"bitmasks, brute force, graphs"
Petya and Inequiations,111,A,greedy
Datatypes,108,B,"math, sortings"
Dorm Water Supply,107,A,"dfs and similar, graphs"
Cthulhu,103,B,"dfs and similar, dsu, graphs"
Rotation,100,I,"*special, geometry, math"
World of Mouth,100,D,"*special, strings"
A+B,100,C,"*special, implementation"
Friendly Numbers,100,B,"*special, implementation"
Help Chef Gerasim,99,B,"implementation, sortings"
Lucky Numbers (easy),96,B,"binary search, bitmasks, brute force"
Friends,94,B,"graphs, implementation, math"
Binary Number,92,B,greedy
Queue,91,B,"binary search, data structures"
Newspaper Headline,91,A,"greedy, strings"
Keyboard,88,B,implementation
Trains,87,A,"implementation, math"
Domino,85,A,"constructive algorithms, implementation"
Magical Array,83,A,math
Plug-in,81,A,implementation
Colorful Field,79,B,"implementation, sortings"
Heroes,77,A,"brute force, implementation"
Facetook Priority Wall,75,B,"expression parsing, implementation, strings"
Train,74,B,"dp, games, greedy"
Goofy Numbers,72,I,"*special, implementation"
Progress Bar,71,B,"implementation, math"
Cookies,70,A,math
